Steplength,Stepwidth,Gaitspeed,Class
47.67,9.55,0.83,1
45.89,9.97,0.61,1
49.35,9.06,0.86,1
66.15,8.75,1.32,1
55.73,6.73,1.03,3
57.93,8.83,0.93,1
69.75,10.21,1.4,1
46.63,7.79,0.91,3
54.13,12.11,0.87,1
55.43,8.52,1.03,1
40.9,13.25,0.67,3
42.89,8.41,0.69,3
54.87,7.28,0.95,1
62.43,10.63,1.01,3
61,5.95,1.1,1
48.35,6.39,0.76,3
61.54,14.42,0.56,1
62.46,10.66,1.09,1
53.69,9.26,0.41,1
56.21,13.63,0.68,3
57.56,9.14,1.08,3
55.67,11.77,1.07,1
57.14,8.26,1.17,1
40.72,5.97,0.42,3
66.08,13.98,0.75,3
65.69,4.01,1.32,1
42.2,11.79,0.74,3
48.82,11.22,0.66,1
48.24,7.55,0.79,3
89.25,13.69,1.71,3
60.69,10.25,1.07,1
64.42,11.82,1.19,3
65.92,9.36,1.06,1
52.25,7.83,0.61,3
60.79,10.98,1.18,1
44.37,16.18,0.68,3
61.77,16.92,1.06,3
56.4,7.93,1.05,1
55.88,11.34,1.09,1
52.53,9.67,1.07,3
49.72,8.34,0.59,3
56.21,11.61,0.78,3
56.6,8.19,0.9,1
41.48,17.03,0.58,3
61.64,8.99,0.83,1
65.17,14.07,1.2,1
48.18,13.05,0.85,3
57.71,13.31,1.09,1
62.64,8.34,0.97,1
55.8,9.09,1.12,1
41.33,17.6,0.68,3
55,12.23,0.84,3
41.43,8.06,0.7,3
48.5,10.41,0.76,3
49.69,13.6,0.88,1
53.79,4.45,0.89,1
61.14,11.31,1.11,3
57.77,8.17,0.63,3
48.59,15.39,0.91,1
38,13.33,0.63,3
52.19,9.89,0.98,1
56.67,7.53,1.01,3
53.5,8.21,0.51,1
46.11,15.21,0.62,1
47.88,12.93,0.57,1
66.92,10.4,1.33,1
59.2,9.6,1.08,1
55.13,9.51,1.1,3
45.95,11.91,0.83,1
54.21,8.2,1.29,1
65.69,6.57,1.38,1
56.53,5.56,1.06,1
61.21,5.82,1.03,1
50.41,7.22,0.65,3
70,11.65,1.15,1
52.94,4.83,0.91,1
61.21,10.29,1.12,1
65.38,11.52,1.19,1
63.29,9.84,1.15,1
57.27,7.8,1.12,1
60.86,6.99,1.12,1
65.31,13.78,0.39,3
65.62,4.15,1,1
56.25,13.14,0.85,1
46.56,10.87,0.81,3
54.33,3.8,0.97,3
52.31,10.55,0.92,3
37.18,14.47,0.63,3
56.07,13.69,1.11,1
45.89,8.97,0.91,3
48.12,4.17,0.81,1
58.2,6.87,1.16,1
55.94,14.4,0.76,1
57.27,6.45,1.19,1
52.75,6.65,1.09,1
63.46,13.46,1.25,2
45.79,9.06,0.76,1
69.75,11.28,1.39,1
57.53,12.84,1.08,3
61.71,11.22,1.23,3
64,11.86,1.28,1
44,8.96,0.91,3
67.42,9.88,1.3,3
54.63,19.61,0.99,1
58.73,8.47,1.07,1
36.79,8.42,0.55,1
34.43,16.32,0.66,3
66,10.49,1.25,3
70,13.92,1.27,1
53.38,13.39,0.95,1
66.67,14.07,1.1,1
61.85,11.72,0.77,1
45.47,13.56,0.53,3
52.56,12.91,1.02,1
55.63,8.46,1.08,1
61.21,16.54,0.91,3
61.64,13.91,1.15,1
42.14,9.2,0.86,1
35.29,16.59,0.52,3
64.69,10.16,1.14,1
45.53,13.28,0.64,1
47.78,10.66,0.91,3
93.43,7.73,1.81,3
62.77,11.71,1.23,1
70.09,4.54,1.17,3
50.06,6.68,0.94,1
66.83,13.64,1.22,3
54.63,10.34,0.71,1
44.7,13.98,0.8,3
73.08,16.16,1.52,1
55.6,9.82,1.2,1
64.83,11.02,1.26,3
56.93,6.33,1.07,1
62.43,10.94,1.17,1
51.88,13.54,0.72,3
62.14,9.31,0.86,1
57.07,12.86,0.91,1
45.32,3.02,0.77,1
53.8,5.27,1.03,1
