Steplength,Stepwidth,Gaitspeed,Class
51.25,7.16,0.87,3
69.42,10.52,0.85,1
66.23,9.84,1.23,1
55,11.19,0.65,1
59.43,14.21,0.95,3
58,8.51,1.07,3
57.06,8.73,1.13,1
56.38,6.89,1.16,1
47.33,13.89,0.6,3
65.33,14.76,1.07,3
67.23,6.65,1.41,1
43.4,11.59,0.79,3
49.47,12.38,0.73,1
49.88,6.7,0.86,3
93,7.4,1.79,3
59.38,9.29,1.04,1
67.25,15.27,1.24,3
64.5,10.13,1.03,1
54.53,11.54,0.77,3
60.86,11.25,1.16,1
44.84,15.02,0.7,3
68.08,11.64,1.23,3
57.44,8.74,1.12,1
55.27,13.69,1.1,1
54,8.71,1.07,3
48.61,7.52,0.48,3
57.07,12.11,0.93,3
59.86,8.04,1.03,1
40.76,14.1,0.6,3
61.43,9.46,0.96,1
68.17,13.56,1.31,1
47.24,12.79,0.86,3
59.07,12.29,1.14,1
61.92,3.93,0.97,3
60,12.08,0.85,1
57.31,8.38,1.21,1
43.24,15.57,0.71,3
53.31,10.2,0.86,3
49.29,7.41,1,3
50.94,10.43,0.88,3
49.29,14.52,0.91,1
55.73,5.54,1.06,1
61.14,9.29,1.09,3
65.77,6.02,0.78,3
48.24,15.81,0.94,1
40.83,13.56,0.64,3
54.73,9.72,1.08,1
59.07,7.21,1.18,3
58,5.86,0.85,1
47.17,14.82,0.66,1
47.17,9.14,0.44,1
67,9.7,1.44,1
64,7.08,1.16,1
56.53,9.09,1.16,3
45.95,13.05,0.88,1
54.63,9.84,1.33,1
65.08,8.58,1.35,1
56,5.28,1.05,1
61.14,7.44,1.08,1
58.07,8.07,0.86,3
69.92,10.93,1.16,1
52.25,4.9,0.92,1
60.79,7.59,1.13,1
65.46,11.3,1.13,1
64.79,9.63,1.25,1
59.93,10.56,1.25,1
64.08,9.95,1.24,1
63.08,14.28,0.46,3
69.67,4.33,1.12,1
60.57,11.22,1.14,1
47.95,11.76,0.86,3
62,8.64,1.27,3
54.13,10.03,1.01,3
39.27,16.38,0.69,3
55.67,14.02,1.13,1
49.18,11.02,0.96,3
51.25,1.74,0.83,1
59.57,4.85,1.23,1
58.71,13.63,0.9,1
56.71,6.85,1.21,1
54.6,8.28,1.08,1
47,8.34,0.8,1
71,10.31,1.43,1
59.29,13.79,1.15,3
58.67,11.83,1.18,3
64,9.61,1.33,1
46.83,10.26,1.03,3
69.25,9.48,1.3,3
55.8,17.63,1.05,1
57.47,10.15,1.13,1
39.5,10.68,0.63,1
40.21,14.85,0.82,3
73.82,8.7,1.47,3
71.55,12.19,1.34,1
56,14.32,1.03,1
70.64,12.33,1.26,1
66.73,7.75,1.12,1
52.47,10.47,0.77,3
55.21,11.68,1.18,1
55.4,8.41,1.08,1
65,16.67,1.09,3
61.71,11.99,1.15,1
46.94,7.69,1.03,1
37.74,14.05,0.59,3
65.23,11.05,1.13,1
50.11,13.2,0.73,1
51.18,8.64,1.02,3
94.89,13.42,1.91,3
61.69,11.85,1.19,1
73,6.06,1.31,3
49.39,6.49,0.9,1
65.62,13.55,1.2,3
57.71,6.82,0.92,1
46.94,14.21,0.84,3
74.4,17.72,1.56,1
54.13,10.56,1.16,1
65.92,8.64,1.31,3
58.23,9.85,1.16,1
66.08,11.38,1.4,1
56.67,15.27,0.81,3
64.29,8.06,0.96,1
57.47,16.19,1.01,1
44.11,3.36,0.76,1
53.25,5.99,1.05,1
